 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  1.96000  1.00557  1.35280    1.41631    1.78557    2.09751     2.17756     2.27268      2.39921
  1.97000  1.00534  1.35569    1.41631    1.78625    2.10199     2.18222     2.27754      2.40434
  1.98000  1.00512  1.35858    1.41632    1.78690    2.10647     2.18687     2.28239      2.40946
  1.99000  1.00491  1.36146    1.41632    1.78752    2.11094     2.19152     2.28724      2.41458
  2.00000  1.00471  1.36435    1.41632    1.78811    2.11528     2.19616     2.29208      2.41969
  2.01000  1.00451  1.36723    1.41631    1.78867    2.11943     2.20079     2.29692      2.42480
  2.02000  1.00433  1.37010    1.41631    1.78921    2.12340     2.20542     2.30175      2.42990
  2.03000  1.00415  1.37298    1.41631    1.78972    2.12720     2.21005     2.30658      2.43500
  2.04000  1.00397  1.37585    1.41630    1.79022    2.13084     2.21467     2.31140      2.44009
  2.05000  1.00381  1.37871    1.41630    1.79068    2.13432     2.21928     2.31622      2.44517
  2.06000  1.00364  1.38157    1.41629    1.79113    2.13765     2.22389     2.32103      2.45025
  2.07000  1.00349  1.38443    1.41628    1.79156    2.14083     2.22849     2.32583      2.45532
  2.08000  1.00334  1.38729    1.41628    1.79197    2.14388     2.23308     2.33062      2.46038
  2.09000  1.00320  1.39014    1.41627    1.79236    2.14679     2.23767     2.33541      2.46544
  2.10000  1.00306  1.39298    1.41626    1.79273    2.14958     2.24226     2.34019      2.47048
  2.11000  1.00293  1.39583    1.41625    1.79308    2.15224     2.24683     2.34497      2.47553
  2.12000  1.00280  1.39867    1.41624    1.79342    2.15479     2.25140     2.34974      2.48056
  2.13000  1.00268  1.40150    1.41623    1.79374    2.15722     2.25596     2.35450      2.48559
  2.14000  1.00257  1.40433    1.41622    1.79405    2.15954     2.26052     2.35925      2.49060
  2.15000  1.00246  1.40716    1.41621    1.79434    2.16177     2.26507     2.36400      2.49562
  2.16000  1.00235  1.40998    1.41620    1.79462    2.16389     2.26953     2.36874      2.50062
  2.17000  1.00224  1.41279    1.41619    1.79488    2.16592     2.27380     2.37347      2.50561
  2.18000  1.00215  1.41561    1.41618    1.79514    2.16786     2.27788     2.37820      2.51060
  2.19000  1.00205  1.41841    1.41617    1.79538    2.16971     2.28177     2.38291      2.51558
  2.20000  1.00196  1.42122    1.41616    1.79561    2.17147     2.28549     2.38762      2.52055
  2.21000  1.00187  1.42402    1.41615    1.79583    2.17316     2.28904     2.39233      2.52552
  2.22000  1.00179  1.42681    1.41614    1.79604    2.17477     2.29243     2.39702      2.53047
  2.23000  1.00171  1.42960    1.41613    1.79623    2.17630     2.29567     2.40171      2.53542
  2.24000  1.00163  1.43238    1.41612    1.79642    2.17777     2.29876     2.40638      2.54036
  2.25000  1.00156  1.43516    1.41610    1.79660    2.17917     2.30171     2.41105      2.54529
  2.26000  1.00149  1.43794    1.41609    1.79677    2.18050     2.30452     2.41572      2.55021
  2.27000  1.00142  1.44071    1.41608    1.79694    2.18178     2.30721     2.42037      2.55512
  2.28000  1.00136  1.44347    1.41607    1.79709    2.18299     2.30977     2.42502      2.56003
  2.29000  1.00129  1.44623    1.41606    1.79724    2.18415     2.31221     2.42965      2.56492
  2.30000  1.00123  1.44899    1.41605    1.79738    2.18525     2.31454     2.43428      2.56981
  2.31000  1.00118  1.45174    1.41604    1.79751    2.18630     2.31676     2.43890      2.57469
  2.32000  1.00112  1.45449    1.41603    1.79764    2.18731     2.31888     2.44352      2.57956
  2.33000  1.00107  1.45723    1.41602    1.79776    2.18826     2.32090     2.44812      2.58442
  2.34000  1.00102  1.45996    1.41601    1.79787    2.18917     2.32282     2.45272      2.58927
  2.35000  1.00097  1.46269    1.41601    1.79798    2.19004     2.32465     2.45731      2.59412
  2.36000  1.00093  1.46542    1.41600    1.79808    2.19087     2.32640     2.46182      2.59895
  2.37000  1.00088  1.46814    1.41599    1.79818    2.19165     2.32806     2.46612      2.60378
  2.38000  1.00084  1.47086    1.41598    1.79827    2.19240     2.32965     2.47022      2.60859
  2.39000  1.00080  1.47357    1.41597    1.79836    2.19311     2.33115     2.47412      2.61340
  2.40000  1.00076  1.47627    1.41596    1.79845    2.19379     2.33259     2.47784      2.61820
  2.41000  1.00073  1.47897    1.41595    1.79853    2.19444     2.33395     2.48138      2.62299
  2.42000  1.00069  1.48167    1.41595    1.79860    2.19505     2.33526     2.48475      2.62777
  2.43000  1.00066  1.48436    1.41594    1.79867    2.19564     2.33649     2.48795      2.63254
  2.44000  1.00063  1.48705    1.41593    1.79874    2.19619     2.33767     2.49100      2.63730
  2.45000  1.00060  1.48973    1.41592    1.79881    2.19672     2.33879     2.49391      2.64206
  2.46000  1.00057  1.49240    1.41592    1.79887    2.19722     2.33986     2.49667      2.64680
